Section,KEY,iOS,Android,Notes,English,Japanese
Common,common_cancel,x,,,Cancel,キャンセル
,common_close,x,,,Close,閉じる..
,common_input_placeholder,x,,,Please enter,入力してください
,common_warning,x,,,Warning,警告
,common_somethingwrong,x,,,Something went wrong!,何かがうまくいかなかった！
,common_ok,x,,,OK,わかった
,common_setting,x,,,Setting,設定
,common_permission_microphone_title,x,,,"""%@"" Would Like to Access the Microphone","""%@"" マイクにアクセスしたい"
,common_permission_microphone_message,x,,,"%@ requires access to the microphone so you use your voice to search patient, recording audio , and more.",%@ マイクにアクセスする必要があるため、音声を使用して患者を検索したり、音声を録音したりできます。
,common_permission_library_title,x,,,"""%@"" Would Like to Access the Library","""％@""ライブラリにアクセスしたい"
,common_permission_library_message,x,,,%@ requires access to the library so you use your photos,％@はライブラリにアクセスする必要があるため、写真を使用します
,common_permission_camera_title,x,,,"""%@"" Would Like to Access the Camera","""%@"" カメラにアクセスしたい"
,common_permission_camera_message,x,,,%@ requires access to the camera so you take a picture medical record,%@ あなたが写真の医療記録を撮るためにカメラへのアクセスが必要です
,common_photo_library_btn,x,,,Photo Library,フォトライブラリ
,common_camera_btn,x,,,Camera,カメラ
,common_dont_support_simulator,x,,,Don't support simulator,シミュレーターをサポートしない
,common_error_429,x,,,Account locked due to too many failed login attempts. Please re-login in 3 minutes.,ログイン試行の失敗が多すぎるため、アカウントがロックされました。 3分後に再ログインしてください。
,common_choose_actionsheet,x,,,Choice,選択
,common_cancel_actionsheet,x,,,Cancel,キャンセル
,,,,,,
SignIn,signin_username_placeholder,x,,,Enter username,ログインID
,signin_password_placeholder,x,,,Enter password,パスワード
,signin_forgotPassword_button,x,,,Forgot password,ログインID・パスワードをお忘れの方はこちら
,signin_button,x,,,Login ,ログイン
,signin_validate_username,x,,,Must including 8 to 50 characters,8〜50文字を含める必要があります
,signin_validate_password,x,,,Must have at least 8 characters,8文字以上である必要があります
,signin_verify_roles_acccount,,,,Account don't permission access in mobile,アカウントはモバイルでのアクセスを許可しません
SignOut,signout_title,x,,,Logout,ログアウト
Menu,menu_login_account,x,,,Login account,ログインアカウント
,menu_list_patient,x,,,List patient,患者一覧 
,menu_list_pending_approval,x,,,List pending appoval,未承認一覧
,,,,,,
Patient List,patient_list_title,x,,,Patient List,患者一覧
,patient_list_clinic_title,x,,,Clinic,診療所
,patient_list_register_patient,x,,,New patient registration,新規患者登録
,patient_list_choice_btn,x,,,Choice,選択
,patient_list_cancel_btn,x,,,Cancel,キャンセル
,patient_list_search_placeholder,x,,,Search for patients,患者を検索
,patient_list_age_title,x,,,age,歳
,patient_list_confirm_title,x,,,Patient List Confirm,未承認一覧
,patient_list_empty_message,x,,,No search result,検索結果なし
,,,,,,
Filter Patient Status,patient_status_temporary,x,,,TEMPORARY,仮登録
,patient_status_active,x,,,ACTIVE,診療中
,patient_status_stop,x,,,STOP,一時休止
,patient_status_end,x,,,END,終了
,patient_status_hospital,x,,,HOSPITAL,入院中
,patient_status_dead,x,,,DEAD,死亡
,patient_status_ambulatory,x,,,AMBULATORY,外来通院
,patient_status_inpatient,x,,,INPATIENT,入院患者
,patient_status_title,x,,,Patient Status,ステータス
,,,,,,
,,,,,,
